,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
20,6Rx0ORYPP3GH9rTvGS5Vy8,EXODUS - The 2nd Album,CALL ME BABY,EXO,False,66,0.692,0.886,1,-2.519,1,0.0519,0.284,0.0,0.341,0.879,100.03,audio_features,spotify:track:6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/tracks/6Rx0ORYPP3GH9rTvGS5Vy8,https://api.spotify.com/v1/audio-analysis/6Rx0ORYPP3GH9rTvGS5Vy8,211013,4
21,71WZ7yFuwxmQz5jJUpvkGv,SUNRISE,예뻤어 You Were Beautiful,DAY6,False,68,0.458,0.617,5,-3.464,0,0.0331,0.0649,0.0,0.109,0.418,167.925,audio_features,spotify:track:71WZ7yFuwxmQz5jJUpvkGv,https://api.spotify.com/v1/tracks/71WZ7yFuwxmQz5jJUpvkGv,https://api.spotify.com/v1/audio-analysis/71WZ7yFuwxmQz5jJUpvkGv,283160,4
22,2Tz4JnXZOcjcp8fWfMjBBk,Red (Deluxe Edition),The Last Time,"Taylor Swift, Gary Lightbody",False,60,0.505,0.443,2,-7.039,1,0.0276,0.035,3.15e-06,0.0906,0.123,94.069,audio_features,spotify:track:2Tz4JnXZOcjcp8fWfMjBBk,https://api.spotify.com/v1/tracks/2Tz4JnXZOcjcp8fWfMjBBk,https://api.spotify.com/v1/audio-analysis/2Tz4JnXZOcjcp8fWfMjBBk,299013,4
23,0WSTInLqMrT9po0LAHpZCJ,City Lights - The 1st Mini Album,UN Village,BAEKHYUN,False,66,0.674,0.589,6,-3.806,0,0.112,0.267,0.0,0.312,0.577,83.985,audio_features,spotify:track:0WSTInLqMrT9po0LAHpZCJ,https://api.spotify.com/v1/tracks/0WSTInLqMrT9po0LAHpZCJ,https://api.spotify.com/v1/audio-analysis/0WSTInLqMrT9po0LAHpZCJ,235509,4
24,5EzitieoPnjyKHAq0gfRMa,THE WAR - The 4th Album,Ko Ko Bop,EXO,False,69,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,audio_features,spotify:track:5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/tracks/5EzitieoPnjyKHAq0gfRMa,https://api.spotify.com/v1/audio-analysis/5EzitieoPnjyKHAq0gfRMa,190423,4
25,0ZO2iSS12JTftv10cSCYf8,SUNRISE,아 왜 I Wait,DAY6,False,56,0.47,0.902,11,-3.744,0,0.231,0.00414,0.0,0.0884,0.346,175.048,audio_features,spotify:track:0ZO2iSS12JTftv10cSCYf8,https://api.spotify.com/v1/tracks/0ZO2iSS12JTftv10cSCYf8,https://api.spotify.com/v1/audio-analysis/0ZO2iSS12JTftv10cSCYf8,218678,4
26,3UgSQu6WwrXfKKDq019IHE,Skrillex and Diplo present Jack Ü,To Ü (feat. AlunaGeorge),"Jack Ü, Skrillex, Diplo, Aluna, AlunaGeorge",False,62,0.485,0.928,10,-3.451,0,0.445,0.134,2.92e-05,0.217,0.348,160.165,audio_features,spotify:track:3UgSQu6WwrXfKKDq019IHE,https://api.spotify.com/v1/tracks/3UgSQu6WwrXfKKDq019IHE,https://api.spotify.com/v1/audio-analysis/3UgSQu6WwrXfKKDq019IHE,237000,4
27,69bDRy5MeWQl1lNeEJQIBE,Encore,The Half,"DJ Snake, Jeremih, Young Thug, Swizz Beatz",True,55,0.705,0.695,11,-3.359,1,0.113,0.0112,0.0,0.691,0.44,169.987,audio_features,spotify:track:69bDRy5MeWQl1lNeEJQIBE,https://api.spotify.com/v1/tracks/69bDRy5MeWQl1lNeEJQIBE,https://api.spotify.com/v1/audio-analysis/69bDRy5MeWQl1lNeEJQIBE,217373,4
28,6ukWoX4AHV76JdYVdKRPk8,LOTTO - The 3rd Album Repackage,Lotto,EXO,False,64,0.798,0.867,11,-3.207,0,0.0386,0.0618,0.0,0.193,0.702,99.996,audio_features,spotify:track:6ukWoX4AHV76JdYVdKRPk8,https://api.spotify.com/v1/tracks/6ukWoX4AHV76JdYVdKRPk8,https://api.spotify.com/v1/audio-analysis/6ukWoX4AHV76JdYVdKRPk8,189775,4
29,1PgLKKfGEgqjL4DfEQArEs,The Book of Us : Entropy,EMERGENCY,DAY6,False,47,0.774,0.957,9,-2.628,1,0.112,0.0352,0.0,0.0509,0.923,144.011,audio_features,spotify:track:1PgLKKfGEgqjL4DfEQArEs,https://api.spotify.com/v1/tracks/1PgLKKfGEgqjL4DfEQArEs,https://api.spotify.com/v1/audio-analysis/1PgLKKfGEgqjL4DfEQArEs,197960,4
